frame,time_seconds,player_id,confidence,x1,y1,x2,y2,ground_x,ground_y,inside_forward50,zone
12,0.24,4,0.6463,100.33,572.51,126.68,638.06,113.51,638.06,True,left_pocket
12,0.24,5,0.5875,1427.43,720.06,1466.61,819.05,1447.02,819.05,True,central_corridor
12,0.24,6,0.4547,1027.32,534.24,1054.85,597.57,1041.08,597.57,True,left_half_forward
12,0.24,7,0.4397,948.72,556.8,976.58,615.72,962.65,615.72,True,left_half_forward
12,0.24,9,0.3764,220.77,501.37,241.98,549.86,231.38,549.86,False,outside
12,0.24,10,0.4768,1365.1,589.31,1395.76,678.8,1380.43,678.8,True,central_corridor
12,0.24,13,0.3827,490.88,497.42,512.0,546.65,501.44,546.65,True,left_pocket
13,0.26,1,0.725,1382.0,706.31,1420.57,811.38,1401.29,811.38,True,central_corridor
13,0.26,2,0.7223,1480.99,848.29,1534.23,984.51,1507.61,984.51,False,outside
13,0.26,4,0.6643,99.84,572.38,127.33,638.75,113.59,638.75,True,left_pocket
13,0.26,5,0.6354,1425.28,720.17,1465.07,819.93,1445.17,819.93,True,central_corridor
13,0.26,6,0.5693,1031.91,532.74,1055.5,597.57,1043.71,597.57,True,left_half_forward
13,0.26,7,0.5734,950.87,556.13,980.3,616.38,965.58,616.38,True,left_half_forward
13,0.26,9,0.381,220.64,500.76,241.69,550.0,231.17,550.0,False,outside
13,0.26,13,0.4179,490.02,497.5,511.09,548.3,500.56,548.3,True,left_pocket
14,0.28,1,0.7197,1381.79,706.44,1420.5,811.57,1401.14,811.57,True,central_corridor
14,0.28,2,0.7215,1481.11,848.18,1534.46,984.46,1507.78,984.46,False,outside
14,0.28,4,0.6631,99.67,572.17,127.55,638.85,113.61,638.85,True,left_pocket
14,0.28,5,0.6375,1424.61,720.08,1464.58,820.36,1444.6,820.36,True,central_corridor
14,0.28,6,0.5622,1033.33,532.14,1055.53,597.92,1044.43,597.92,True,left_half_forward
14,0.28,7,0.5618,951.61,555.79,981.53,616.73,966.57,616.73,True,left_half_forward
14,0.28,9,0.3759,220.64,500.75,241.57,549.79,231.11,549.79,False,outside
